0,282,-59,0
1,234,37,0
2,220,65,0
3,197,109,0
4,135,214,0
5,23,353,0
6,-22,409,0
7,84,406,0
8,-15,315,0
9,-50,287,0
10,-112,235,0
11,-163,196,0
12,-204,166,0
13,-238,143,0
14,-318,102,0
15,-372,85,0
16,100,193,0
17,135,106,0
18,140,54,0
19,230,-35,0
20,137,-37,0
21,137,8,0
22,106,-160,0
23,170,-188,0
24,59,-142,0
25,25,-120,0
26,48,-84,0
27,69,-41,0
28,93,12,0
29,0,0,0
30,-23,-33,0
31,-52,-71,0
32,-85,-44,0
33,-64,-10,0
34,-91,14,0
35,-116,-18,0
36,-68,49,0
37,-104,79,0
38,-127,46,0
39,-202,107,0
40,-176,138,0
41,-244,62,0
